  : |     NOME ISTANZA                        | |TEMPO       | |VALORE SOLUZIONE| |BEST BOUND  | |STATO       | |NUMERO NODI | |NUMERO ARCHI| |IS VERTEX COVER| |IS CONNECTED VERTEX COVER     |
1 CVC: |anna_138_493_conv.txt               | |0,201       | |58,000000       | |58,000000   | |Optimal     | |138         | |493         | |true           | |true        |

2 CVC: |attiro_59_conv.txt                  | |0,178       | |33,000000       | |33,000000   | |Optimal     | |59          | |128         | |true           | |true        |

3 CVC: |Bovine.txt                          | |0,207       | |18,000000       | |18,000000   | |Optimal     | |121         | |190         | |true           | |true        |

4 CVC: |celegance_453_2025_conv.txt         | |0,793       | |250,000000      | |250,000000  | |Optimal     | |453         | |2025        | |true           | |true        |

5 CVC: |cerevisae_1458_1948_conv.txt        | |8,147       | |517,000000      | |517,000000  | |Optimal     | |1458        | |1948        | |true           | |true        |

6 CVC: |chesapeake_39_conv.txt              | |0,104       | |22,000000       | |22,000000   | |Optimal     | |39          | |170         | |true           | |true        |

7 CVC: |Circuit.txt                         | |2,235       | |142,000000      | |142,000000  | |Optimal     | |252         | |399         | |true           | |true        |

8 CVC: |david_87_406_conv.txt               | |0,157       | |51,000000       | |51,000000   | |Optimal     | |87          | |406         | |true           | |true        |

9 CVC: |dolphins_62_conv.txt                | |0,102       | |36,000000       | |36,000000   | |Optimal     | |62          | |159         | |true           | |true        |

10 CVC: |Ecoli.txt                           | |0,322       | |86,000000       | |86,000000   | |Optimal     | |328         | |456         | |true           | |true        |

11 CVC: |Erdos_collaboration_main_429_1312_conv.txt| |0,530       | |220,000000      | |220,000000  | |Optimal     | |429         | |1312        | |true           | |true        |

12 CVC: |Harvard_Web_500_2636_conv.txt       | |0,686       | |185,000000      | |185,000000  | |Optimal     | |500         | |2043        | |true           | |true        |

13 CVC: |high-tech_33_conv.txt               | |0,028       | |17,000000       | |17,000000   | |Optimal     | |33          | |91          | |true           | |true        |

14 CVC: |homer_max_comp_542_1619_conv.txt    | |1,867       | |217,000000      | |217,000000  | |Optimal     | |542         | |1619        | |true           | |true        |

15 CVC: |hpylori_main_706_1392_conv.txt      | |2,774       | |214,000000      | |214,000000  | |Optimal     | |706         | |1392        | |true           | |true        |

16 CVC: |huck_main_69_297_conv.txt           | |0,060       | |44,000000       | |44,000000   | |Optimal     | |69          | |297         | |true           | |true        |

17 CVC: |humanDiseasome.txt                  | |1,566       | |289,000000      | |289,000000  | |Optimal     | |516         | |1188        | |true           | |true        |

18 CVC: |ieeebus_118_conv.txt                | |0,213       | |66,000000       | |66,000000   | |Optimal     | |118         | |179         | |true           | |true        |

19 CVC: |jean_main_77_254_conv.txt           | |0,056       | |42,000000       | |42,000000   | |Optimal     | |77          | |254         | |true           | |true        |

20 CVC: |karate_34_conv.txt                  | |0,036       | |14,000000       | |14,000000   | |Optimal     | |34          | |78          | |true           | |true        |

21 CVC: |kreb_62_conv.txt                    | |0,059       | |29,000000       | |29,000000   | |Optimal     | |62          | |153         | |true           | |true        |

22 CVC: |LindenStrasse_max_comp_232_conv.txt | |0,217       | |104,000000      | |104,000000  | |Optimal     | |232         | |303         | |true           | |true        |

23 CVC: |matrix_50_2_u_conn_conv.txt         | |0,105       | |29,000000       | |29,000000   | |Optimal     | |50          | |100         | |true           | |true        |

24 CVC: |matrix_50_3_u_conn_conv.txt         | |0,103       | |29,000000       | |29,000000   | |Optimal     | |50          | |125         | |true           | |true        |

25 CVC: |matrix_50_4_u_conn_conv.txt         | |0,084       | |32,000000       | |32,000000   | |Optimal     | |50          | |150         | |true           | |true        |

26 CVC: |matrix_BA_50_2_2_conv.txt           | |0,034       | |23,000000       | |23,000000   | |Optimal     | |50          | |97          | |true           | |true        |

27 CVC: |matrix_BA_50_3_5_conv.txt           | |0,056       | |26,000000       | |26,000000   | |Optimal     | |50          | |144         | |true           | |true        |

28 CVC: |matrix_BA_50_4_5_conv.txt           | |0,078       | |30,000000       | |30,000000   | |Optimal     | |50          | |190         | |true           | |true        |

29 CVC: |matrix_SW_100_200_025_conv.txt      | |0,248       | |60,000000       | |60,000000   | |Optimal     | |100         | |200         | |true           | |true        |

30 CVC: |matrix_SW_100_200_050_conv.txt      | |0,154       | |60,000000       | |60,000000   | |Optimal     | |100         | |200         | |true           | |true        |

31 CVC: |matrix_SW_100_200_075_conv.txt      | |0,155       | |58,000000       | |58,000000   | |Optimal     | |100         | |200         | |true           | |true        |

32 CVC: |mexican_35_conv.txt                 | |0,030       | |22,000000       | |22,000000   | |Optimal     | |35          | |117         | |true           | |true        |

33 CVC: |NetScience_max_comp_379_914_conv.txt| |3,001       | |214,000000      | |214,000000  | |Optimal     | |379         | |914         | |true           | |true        |

34 CVC: |prison_67_conv.txt                  | |0,049       | |42,000000       | |42,000000   | |Optimal     | |67          | |142         | |true           | |true        |

35 CVC: |sanjuansur_75_conv.txt              | |0,091       | |41,000000       | |41,000000   | |Optimal     | |75          | |144         | |true           | |true        |

36 CVC: |santafe_118_conv.txt                | |0,137       | |53,000000       | |53,000000   | |Optimal     | |118         | |200         | |true           | |true        |

37 CVC: |sawmill_36_conv.txt                 | |0,030       | |19,000000       | |19,000000   | |Optimal     | |36          | |62          | |true           | |true        |

38 CVC: |SmallWorld_max_comp_233_994_conv.txt| |0,260       | |85,000000       | |85,000000   | |Optimal     | |233         | |994         | |true           | |true        |

39 CVC: |tailor_shopT1_39_conv.txt           | |0,033       | |22,000000       | |22,000000   | |Optimal     | |39          | |158         | |true           | |true        |

40 CVC: |tailor_shopT2_39_conv.txt           | |0,050       | |26,000000       | |26,000000   | |Optimal     | |39          | |223         | |true           | |true        |

41 CVC: |Treni_Roma.txt                      | |300,050     | |236,000000      | |228,080942  | |Feasible    | |255         | |272         | |true           | |true        |

