Risultati istanze con algoritmo CVC modificato da euristica: 20%  k=4 connesso con i 5 vicini di grado
  : |     NOME ISTANZA                        | |TEMPO       | |VALORE SOLUZIONE| |BEST BOUND  | |STATO       | |NUMERO NODI | |NUMERO ARCHI| |IS VERTEX COVER| |IS CONNECTED VERTEX COVER     |
1 CVC: |anna_138_493_conv.txt               | |0,489       | |58,000000       | |58,000000   | |Optimal     | |138         | |493         | |true           | |true        |

2 CVC: |attiro_59_conv.txt                  | |0,234       | |33,000000       | |33,000000   | |Optimal     | |59          | |128         | |true           | |true        |

3 CVC: |Bovine.txt                          | |0,078       | |18,000000       | |18,000000   | |Optimal     | |121         | |190         | |true           | |true        |

4 CVC: |celegance_453_2025_conv.txt         | |1,644       | |250,000000      | |250,000000  | |Optimal     | |453         | |2025        | |true           | |true        |

5 CVC: |cerevisae_1458_1948_conv.txt        | |17,668      | |517,000000      | |517,000000  | |Optimal     | |1458        | |1948        | |true           | |true        |

6 CVC: |chesapeake_39_conv.txt              | |0,064       | |22,000000       | |22,000000   | |Optimal     | |39          | |170         | |true           | |true        |

7 CVC: |Circuit.txt                         | |4,566       | |142,000000      | |142,000000  | |Optimal     | |252         | |399         | |true           | |true        |

8 CVC: |david_87_406_conv.txt               | |0,275       | |51,000000       | |51,000000   | |Optimal     | |87          | |406         | |true           | |true        |

9 CVC: |dolphins_62_conv.txt                | |0,132       | |36,000000       | |36,000000   | |Optimal     | |62          | |159         | |true           | |true        |

10 CVC: |Ecoli.txt                           | |2,997       | |85,000000       | |85,000000   | |Optimal     | |328         | |456         | |true           | |true        |

11 CVC: |Erdos_collaboration_main_429_1312_conv.txt| |0,660       | |219,000000      | |219,000000  | |Optimal     | |429         | |1312        | |true           | |true        |

12 CVC: |Harvard_Web_500_2636_conv.txt       | |0,865       | |184,000000      | |184,000000  | |Optimal     | |500         | |2043        | |true           | |true        |

13 CVC: |high-tech_33_conv.txt               | |0,032       | |17,000000       | |17,000000   | |Optimal     | |33          | |91          | |true           | |true        |

14 CVC: |homer_max_comp_542_1619_conv.txt    | |2,725       | |217,000000      | |217,000000  | |Optimal     | |542         | |1619        | |true           | |true        |

15 CVC: |hpylori_main_706_1392_conv.txt      | |2,407       | |211,000000      | |211,000000  | |Optimal     | |706         | |1392        | |true           | |true        |

16 CVC: |huck_main_69_297_conv.txt           | |0,271       | |44,000000       | |44,000000   | |Optimal     | |69          | |297         | |true           | |true        |

17 CVC: |humanDiseasome.txt                  | |1,518       | |289,000000      | |289,000000  | |Optimal     | |516         | |1188        | |true           | |true        |

18 CVC: |ieeebus_118_conv.txt                | |0,233       | |66,000000       | |66,000000   | |Optimal     | |118         | |179         | |true           | |true        |

19 CVC: |jean_main_77_254_conv.txt           | |0,059       | |42,000000       | |42,000000   | |Optimal     | |77          | |254         | |true           | |true        |

20 CVC: |karate_34_conv.txt                  | |0,016       | |14,000000       | |14,000000   | |Optimal     | |34          | |78          | |true           | |true        |

21 CVC: |kreb_62_conv.txt                    | |0,050       | |29,000000       | |29,000000   | |Optimal     | |62          | |153         | |true           | |true        |

22 CVC: |LindenStrasse_max_comp_232_conv.txt | |1,027       | |104,000000      | |104,000000  | |Optimal     | |232         | |303         | |true           | |true        |

23 CVC: |matrix_50_2_u_conn_conv.txt         | |0,141       | |29,000000       | |29,000000   | |Optimal     | |50          | |100         | |true           | |true        |

