|     NOME ISTANZA                           | |TEMPO       | |VALORE SOLUZIONE| |BEST BOUND  | |STATO       | |NUMERO NODI | |NUMERO ARCHI| |IS VERTEX COVER| |IS CONNECTED VERTEX COVER     |
1 VC:  |bcspwr06.mtx                         | |0,122       | |668,000000      | |668,000000  | |Optimal     | |1454        | |1923        | |true           | |false       |
1 CVC: |bcspwr06.mtx                         | |300,176     | |806,000000      | |787,006711  | |Feasible    | |1454        | |1923        | |true           | |true        |

2 VC:  |bcspwr09.mtx                         | |0,308       | |775,000000      | |775,000000  | |Optimal     | |1723        | |2394        | |true           | |false       |
2 CVC: |bcspwr09.mtx                         | |300,295     | |914,000000      | |897,850311  | |Feasible    | |1723        | |2394        | |true           | |true        |

3 VC:  |bibd_11_5.mtx                        | |0,300       | |55,000000       | |55,000000   | |Optimal     | |462         | |4560        | |true           | |false       |
3 CVC: |bibd_11_5.mtx                        | |9,582       | |55,000000       | |55,000000   | |Optimal     | |462         | |4560        | |true           | |true        |

4 VC:  |celegans_connectome_multiplex.edges  | |0,010       | |3,000000        | |3,000000    | |Optimal     | |279         | |783         | |true           | |false       |
4 CVC: |celegans_connectome_multiplex.edges  | |0,265       | |3,000000        | |3,000000    | |Optimal     | |279         | |783         | |true           | |true        |

5 VC:  |ch7-6-b1.mtx                         | |0,044       | |41,000000       | |41,000000   | |Optimal     | |630         | |1243        | |true           | |false       |
5 CVC: |ch7-6-b1.mtx                         | |4,396       | |42,000000       | |42,000000   | |Optimal     | |630         | |1243        | |true           | |true        |

6 VC:  |dwa512.mtx                           | |0,048       | |258,000000      | |258,000000  | |Optimal     | |512         | |1004        | |true           | |false       |
6 CVC: |dwa512.mtx                           | |300,161     | |505,000000      | |258,000000  | |Feasible    | |512         | |1004        | |true           | |true        |

7 VC:  |email-enron-only.mtx                 | |0,034       | |86,000000       | |86,000000   | |Optimal     | |143         | |623         | |true           | |false       |
7 CVC: |email-enron-only.mtx                 | |0,675       | |87,000000       | |87,000000   | |Optimal     | |143         | |623         | |true           | |true        |

8 VC:  |email-univ.edges                     | |0,155       | |594,000000      | |594,000000  | |Optimal     | |1133        | |5451        | |true           | |false       |
8 CVC: |email-univ.edges                     | |18,101      | |599,000000      | |599,000000  | |Optimal     | |1133        | |5451        | |true           | |true        |

9 VC:  |GD96_a.mtx                           | |0,131       | |544,000000      | |544,000000  | |Optimal     | |1096        | |1677        | |true           | |false       |
9 CVC: |GD96_a.mtx                           | |302,367     | |756,000000      | |745,175799  | |Feasible    | |1096        | |1677        | |true           | |true        |

10 VC:  |ia-email-univ.mtx                   | |0,157       | |594,000000      | |594,000000  | |Optimal     | |1133        | |5451        | |true           | |false       |
10 CVC: |ia-email-univ.mtx                   | |18,007      | |599,000000      | |599,000000  | |Optimal     | |1133        | |5451        | |true           | |true        |

11 VC:  |inf-USAir97.mtx                     | |0,067       | |149,000000      | |149,000000  | |Optimal     | |332         | |2126        | |true           | |false       |
11 CVC: |inf-USAir97.mtx                     | |4,304       | |149,000000      | |149,000000  | |Optimal     | |332         | |2126        | |true           | |true        |

12 VC:  |Kapferer-Tailor-Shop_multiplex.edges| |0,026       | |4,000000        | |4,000000    | |Optimal     | |39          | |137         | |true           | |false       |
12 CVC: |Kapferer-Tailor-Shop_multiplex.edges| |0,142       | |4,000000        | |4,000000    | |Optimal     | |39          | |137         | |true           | |true        |

13 VC:  |lp_agg.mtx                          | |0,070       | |127,000000      | |127,000000  | |Optimal     | |615         | |2407        | |true           | |false       |
13 CVC: |lp_agg.mtx                          | |16,162      | |128,000000      | |128,000000  | |Optimal     | |615         | |2407        | |true           | |true        |

14 VC:  |lp_etamacro.mtx                     | |0,061       | |368,000000      | |368,000000  | |Optimal     | |816         | |2489        | |true           | |false       |
